HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
LAO,Lao People's Democratic Republic (the),HL70399,"F-R4, F-R6",,,,,LAO,,Lao People's Democratic Republic (the),urn:iso:std:iso:3166,,
LVA,Latvia,HL70399,"F-R4, F-R6",,,,,LVA,,Latvia,urn:iso:std:iso:3166,,
LBN,Lebanon,HL70399,"F-R4, F-R6",,,,,LBN,,Lebanon,urn:iso:std:iso:3166,,
LSO,Lesotho,HL70399,"F-R4, F-R6",,,,,LSO,,Lesotho,urn:iso:std:iso:3166,,
LBR,Liberia,HL70399,"F-R4, F-R6",,,,,LBR,,Liberia,urn:iso:std:iso:3166,,
LBY,Libya,HL70399,"F-R4, F-R6",,,,,LBY,,Libya,urn:iso:std:iso:3166,,
LIE,Liechtenstein,HL70399,"F-R4, F-R6",,,,,LIE,,Liechtenstein,urn:iso:std:iso:3166,,
LTU,Lithuania,HL70399,"F-R4, F-R6",,,,,LTU,,Lithuania,urn:iso:std:iso:3166,,
LUX,Luxembourg,HL70399,"F-R4, F-R6",,,,,LUX,,Luxembourg,urn:iso:std:iso:3166,,
MAC,Macao,HL70399,"F-R4, F-R6",,,,,MAC,,Macao,urn:iso:std:iso:3166,,
MDG,Madagascar,HL70399,"F-R4, F-R6",,,,,MDG,,Madagascar,urn:iso:std:iso:3166,,
MWI,Malawi,HL70399,"F-R4, F-R6",,,,,MWI,,Malawi,urn:iso:std:iso:3166,,
MYS,Malaysia,HL70399,"F-R4, F-R6",,,,,MYS,,Malaysia,urn:iso:std:iso:3166,,
MDV,Maldives,HL70399,"F-R4, F-R6",,,,,MDV,,Maldives,urn:iso:std:iso:3166,,
MLI,Mali,HL70399,"F-R4, F-R6",,,,,MLI,,Mali,urn:iso:std:iso:3166,,
MLT,Malta,HL70399,"F-R4, F-R6",,,,,MLT,,Malta,urn:iso:std:iso:3166,,
MHL,Marshall Islands (the),HL70399,"F-R4, F-R6",,,,,MHL,,Marshall Islands (the),urn:iso:std:iso:3166,,
MTQ,Martinique,HL70399,"F-R4, F-R6",,,,,MTQ,,Martinique,urn:iso:std:iso:3166,,
MRT,Mauritania,HL70399,"F-R4, F-R6",,,,,MRT,,Mauritania,urn:iso:std:iso:3166,,
MUS,Mauritius,HL70399,"F-R4, F-R6",,,,,MUS,,Mauritius,urn:iso:std:iso:3166,,
MYT,Mayotte,HL70399,"F-R4, F-R6",,,,,MYT,,Mayotte,urn:iso:std:iso:3166,,
MEX,Mexico,HL70399,"F-R4, F-R6",,,,,MEX,,Mexico,urn:iso:std:iso:3166,,
FSM,Micronesia (Federated States of),HL70399,"F-R4, F-R6",,,,,FSM,,Micronesia (Federated States of),urn:iso:std:iso:3166,,
MDA,Moldova (the Republic of),HL70399,"F-R4, F-R6",,,,,MDA,,Moldova (the Republic of),urn:iso:std:iso:3166,,
MCO,Monaco,HL70399,"F-R4, F-R6",,,,,MCO,,Monaco,urn:iso:std:iso:3166,,
MNG,Mongolia,HL70399,"F-R4, F-R6",,,,,MNG,,Mongolia,urn:iso:std:iso:3166,,
MNE,Montenegro,HL70399,"F-R4, F-R6",,,,,MNE,,Montenegro,urn:iso:std:iso:3166,,
MSR,Montserrat,HL70399,"F-R4, F-R6",,,,,MSR,,Montserrat,urn:iso:std:iso:3166,,
MAR,Morocco,HL70399,"F-R4, F-R6",,,,,MAR,,Morocco,urn:iso:std:iso:3166,,
MOZ,Mozambique,HL70399,"F-R4, F-R6",,,,,MOZ,,Mozambique,urn:iso:std:iso:3166,,
MMR,Myanmar,HL70399,"F-R4, F-R6",,,,,MMR,,Myanmar,urn:iso:std:iso:3166,,
NAM,Namibia,HL70399,"F-R4, F-R6",,,,,NAM,,Namibia,urn:iso:std:iso:3166,,
NRU,Nauru,HL70399,"F-R4, F-R6",,,,,NRU,,Nauru,urn:iso:std:iso:3166,,
NPL,Nepal,HL70399,"F-R4, F-R6",,,,,NPL,,Nepal,urn:iso:std:iso:3166,,
NLD,Netherlands (Kingdom of the),HL70399,"F-R4, F-R6",,,,,NLD,,Netherlands (Kingdom of the),urn:iso:std:iso:3166,,
NCL,New Caledonia,HL70399,"F-R4, F-R6",,,,,NCL,,New Caledonia,urn:iso:std:iso:3166,,
NZL,New Zealand,HL70399,"F-R4, F-R6",,,,,NZL,,New Zealand,urn:iso:std:iso:3166,,
NIC,Nicaragua,HL70399,"F-R4, F-R6",,,,,NIC,,Nicaragua,urn:iso:std:iso:3166,,
NER,Niger (the),HL70399,"F-R4, F-R6",,,,,NER,,Niger (the),urn:iso:std:iso:3166,,
NGA,Nigeria,HL70399,"F-R4, F-R6",,,,,NGA,,Nigeria,urn:iso:std:iso:3166,,
NIU,Niue,HL70399,"F-R4, F-R6",,,,,NIU,,Niue,urn:iso:std:iso:3166,,
NFK,Norfolk Island,HL70399,"F-R4, F-R6",,,,,NFK,,Norfolk Island,urn:iso:std:iso:3166,,
MKD,North Macedonia,HL70399,"F-R4, F-R6",,,,,MKD,,North Macedonia,urn:iso:std:iso:3166,,
MNP,Northern Mariana Islands (the),HL70399,"F-R4, F-R6",,,,,MNP,,Northern Mariana Islands (the),urn:iso:std:iso:3166,,
NOR,Norway,HL70399,"F-R4, F-R6",,,,,NOR,,Norway,urn:iso:std:iso:3166,,
OMN,Oman,HL70399,"F-R4, F-R6",,,,,OMN,,Oman,urn:iso:std:iso:3166,,
PAK,Pakistan,HL70399,"F-R4, F-R6",,,,,PAK,,Pakistan,urn:iso:std:iso:3166,,
PLW,Palau,HL70399,"F-R4, F-R6",,,,,PLW,,Palau,urn:iso:std:iso:3166,,
PSE,"Palestine, State of",HL70399,"F-R4, F-R6",,,,,PSE,,"Palestine, State of",urn:iso:std:iso:3166,,
PAN,Panama,HL70399,"F-R4, F-R6",,,,,PAN,,Panama,urn:iso:std:iso:3166,,
PNG,Papua New Guinea,HL70399,"F-R4, F-R6",,,,,PNG,,Papua New Guinea,urn:iso:std:iso:3166,,
PRY,Paraguay,HL70399,"F-R4, F-R6",,,,,PRY,,Paraguay,urn:iso:std:iso:3166,,
PER,Peru,HL70399,"F-R4, F-R6",,,,,PER,,Peru,urn:iso:std:iso:3166,,
PHL,Philippines (the),HL70399,"F-R4, F-R6",,,,,PHL,,Philippines (the),urn:iso:std:iso:3166,,
PCN,Pitcairn,HL70399,"F-R4, F-R6",,,,,PCN,,Pitcairn,urn:iso:std:iso:3166,,
POL,Poland,HL70399,"F-R4, F-R6",,,,,POL,,Poland,urn:iso:std:iso:3166,,
PRT,Portugal,HL70399,"F-R4, F-R6",,,,,PRT,,Portugal,urn:iso:std:iso:3166,,
PRI,Puerto Rico,HL70399,"F-R4, F-R6",,,,,PRI,,Puerto Rico,urn:iso:std:iso:3166,,
QAT,Qatar,HL70399,"F-R4, F-R6",,,,,QAT,,Qatar,urn:iso:std:iso:3166,,
ROU,Romania,HL70399,"F-R4, F-R6",,,,,ROU,,Romania,urn:iso:std:iso:3166,,
RUS,Russian Federation (the),HL70399,"F-R4, F-R6",,,,,RUS,,Russian Federation (the),urn:iso:std:iso:3166,,
RWA,Rwanda,HL70399,"F-R4, F-R6",,,,,RWA,,Rwanda,urn:iso:std:iso:3166,,
REU,Réunion,HL70399,"F-R4, F-R6",,,,,REU,,Réunion,urn:iso:std:iso:3166,,
BLM,Saint Barthélemy,HL70399,"F-R4, F-R6",,,,,BLM,,Saint Barthélemy,urn:iso:std:iso:3166,,
SHN,"Saint Helena, Ascension and Tristan da Cunha",HL70399,"F-R4, F-R6",,,,,SHN,,"Saint Helena, Ascension and Tristan da Cunha",urn:iso:std:iso:3166,,
KNA,Saint Kitts and Nevis,HL70399,"F-R4, F-R6",,,,,KNA,,Saint Kitts and Nevis,urn:iso:std:iso:3166,,
LCA,Saint Lucia,HL70399,"F-R4, F-R6",,,,,LCA,,Saint Lucia,urn:iso:std:iso:3166,,
MAF,Saint Martin (French part),HL70399,"F-R4, F-R6",,,,,MAF,,Saint Martin (French part),urn:iso:std:iso:3166,,
SPM,Saint Pierre and Miquelon,HL70399,"F-R4, F-R6",,,,,SPM,,Saint Pierre and Miquelon,urn:iso:std:iso:3166,,
VCT,Saint Vincent and the Grenadines,HL70399,"F-R4, F-R6",,,,,VCT,,Saint Vincent and the Grenadines,urn:iso:std:iso:3166,,
WSM,Samoa,HL70399,"F-R4, F-R6",,,,,WSM,,Samoa,urn:iso:std:iso:3166,,
SMR,San Marino,HL70399,"F-R4, F-R6",,,,,SMR,,San Marino,urn:iso:std:iso:3166,,
STP,Sao Tome and Principe,HL70399,"F-R4, F-R6",,,,,STP,,Sao Tome and Principe,urn:iso:std:iso:3166,,
