HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
EARBI,"Ear bone, incus",HL70550,"F-R4, F-R6",,,,,EARBI,,"Ear bone, incus",http://terminology.hl7.org/CodeSystem/v2-0550,,
EARBM,"Ear bone, malleus",HL70550,"F-R4, F-R6",,,,,EARBM,,"Ear bone, malleus",http://terminology.hl7.org/CodeSystem/v2-0550,,
EARBS,"Ear bone,stapes",HL70550,"F-R4, F-R6",,,,,EARBS,,"Ear bone,stapes",http://terminology.hl7.org/CodeSystem/v2-0550,,
EARLO,Ear Lobe,HL70550,"F-R4, F-R6",,,,,EARLO,,Ear Lobe,http://terminology.hl7.org/CodeSystem/v2-0550,,
ELBOW,Elbow,HL70550,"F-R4, F-R6",,,,,ELBOW,,Elbow,http://terminology.hl7.org/CodeSystem/v2-0550,,
ELBOWJ,Elbow Joint,HL70550,"F-R4, F-R6",,,,,ELBOWJ,,Elbow Joint,http://terminology.hl7.org/CodeSystem/v2-0550,,
ENDC,Endocardium,HL70550,"F-R4, F-R6",,,,,ENDC,,Endocardium,http://terminology.hl7.org/CodeSystem/v2-0550,,
EC,Endocervical,HL70550,"F-R4, F-R6",,,,,EC,,Endocervical,http://terminology.hl7.org/CodeSystem/v2-0550,,
EOLPH,endolpthamitis,HL70550,"F-R4, F-R6",,,,,EOLPH,,endolpthamitis,http://terminology.hl7.org/CodeSystem/v2-0550,,
ENDM,Endometrium,HL70550,"F-R4, F-R6",,,,,ENDM,,Endometrium,http://terminology.hl7.org/CodeSystem/v2-0550,,
ET,Endotracheal,HL70550,"F-R4, F-R6",,,,,ET,,Endotracheal,http://terminology.hl7.org/CodeSystem/v2-0550,,
EUR,Endourethral,HL70550,"F-R4, F-R6",,,,,EUR,,Endourethral,http://terminology.hl7.org/CodeSystem/v2-0550,,
EOS,Eosinophils,HL70550,"F-R4, F-R6",,,,,EOS,,Eosinophils,http://terminology.hl7.org/CodeSystem/v2-0550,,
EPICA,Epicardial,HL70550,"F-R4, F-R6",,,,,EPICA,,Epicardial,http://terminology.hl7.org/CodeSystem/v2-0550,,
EPICM,Epicardium,HL70550,"F-R4, F-R6",,,,,EPICM,,Epicardium,http://terminology.hl7.org/CodeSystem/v2-0550,,
EPD,Epididymis,HL70550,"F-R4, F-R6",,,,,EPD,,Epididymis,http://terminology.hl7.org/CodeSystem/v2-0550,,
EPIDU,Epidural,HL70550,"F-R4, F-R6",,,,,EPIDU,,Epidural,http://terminology.hl7.org/CodeSystem/v2-0550,,
EPIGL,Epiglottis,HL70550,"F-R4, F-R6",,,,,EPIGL,,Epiglottis,http://terminology.hl7.org/CodeSystem/v2-0550,,
ESOPG,Esophageal,HL70550,"F-R4, F-R6",,,,,ESOPG,,Esophageal,http://terminology.hl7.org/CodeSystem/v2-0550,,
ESO,Esophagus,HL70550,"F-R4, F-R6",,,,,ESO,,Esophagus,http://terminology.hl7.org/CodeSystem/v2-0550,,
ETHMO,Ethmoid,HL70550,"F-R4, F-R6",,,,,ETHMO,,Ethmoid,http://terminology.hl7.org/CodeSystem/v2-0550,,
Â,External Jugular,HL70550,"F-R4, F-R6",,,,,Â,,External Jugular,http://terminology.hl7.org/CodeSystem/v2-0550,,
EYE,Eye,HL70550,"F-R4, F-R6",,,,,EYE,,Eye,http://terminology.hl7.org/CodeSystem/v2-0550,,
BROW,Eyebrow,HL70550,"F-R4, F-R6",,,,,BROW,,Eyebrow,http://terminology.hl7.org/CodeSystem/v2-0550,,
EYELI,Eyelid,HL70550,"F-R4, F-R6",,,,,EYELI,,Eyelid,http://terminology.hl7.org/CodeSystem/v2-0550,,
FACE,Face,HL70550,"F-R4, F-R6",,,,,FACE,,Face,http://terminology.hl7.org/CodeSystem/v2-0550,,
FBINC,"Facial bone, inferior nasal concha",HL70550,"F-R4, F-R6",,,,,FBINC,,"Facial bone, inferior nasal concha",http://terminology.hl7.org/CodeSystem/v2-0550,,
FBLAC,"Facial bone, lacrimal",HL70550,"F-R4, F-R6",,,,,FBLAC,,"Facial bone, lacrimal",http://terminology.hl7.org/CodeSystem/v2-0550,,
FBMAX,"Facial bone, maxilla",HL70550,"F-R4, F-R6",,,,,FBMAX,,"Facial bone, maxilla",http://terminology.hl7.org/CodeSystem/v2-0550,,
FBNAS,"Facial bone, nasal",HL70550,"F-R4, F-R6",,,,,FBNAS,,"Facial bone, nasal",http://terminology.hl7.org/CodeSystem/v2-0550,,
FBPAL,"Facial bone, palatine",HL70550,"F-R4, F-R6",,,,,FBPAL,,"Facial bone, palatine",http://terminology.hl7.org/CodeSystem/v2-0550,,
FBVOM,"Facial bone, vomer",HL70550,"F-R4, F-R6",,,,,FBVOM,,"Facial bone, vomer",http://terminology.hl7.org/CodeSystem/v2-0550,,
FBZYG,"Facial bone, zygomatic",HL70550,"F-R4, F-R6",,,,,FBZYG,,"Facial bone, zygomatic",http://terminology.hl7.org/CodeSystem/v2-0550,,
FALLT,Fallopian Tube,HL70550,"F-R4, F-R6",,,,,FALLT,,Fallopian Tube,http://terminology.hl7.org/CodeSystem/v2-0550,,
FEMOR,Femoral,HL70550,"F-R4, F-R6",,,,,FEMOR,,Femoral,http://terminology.hl7.org/CodeSystem/v2-0550,,
FMH,Femoral Head,HL70550,"F-R4, F-R6",,,,,FMH,,Femoral Head,http://terminology.hl7.org/CodeSystem/v2-0550,,
FEMUR,Femur,HL70550,"F-R4, F-R6",,,,,FEMUR,,Femur,http://terminology.hl7.org/CodeSystem/v2-0550,,
FET,Fetus,HL70550,"F-R4, F-R6",,,,,FET,,Fetus,http://terminology.hl7.org/CodeSystem/v2-0550,,
FIBU,Fibula,HL70550,"F-R4, F-R6",,,,,FIBU,,Fibula,http://terminology.hl7.org/CodeSystem/v2-0550,,
FING,Finger,HL70550,"F-R4, F-R6",,,,,FING,,Finger,http://terminology.hl7.org/CodeSystem/v2-0550,,
FINGN,Finger Nail,HL70550,"F-R4, F-R6",,,,,FINGN,,Finger Nail,http://terminology.hl7.org/CodeSystem/v2-0550,,
FOL,Follicle,HL70550,"F-R4, F-R6",,,,,FOL,,Follicle,http://terminology.hl7.org/CodeSystem/v2-0550,,
FOOT,Foot,HL70550,"F-R4, F-R6",,,,,FOOT,,Foot,http://terminology.hl7.org/CodeSystem/v2-0550,,
FOREA,Forearm,HL70550,"F-R4, F-R6",,,,,FOREA,,Forearm,http://terminology.hl7.org/CodeSystem/v2-0550,,
FOREH,Forehead,HL70550,"F-R4, F-R6",,,,,FOREH,,Forehead,http://terminology.hl7.org/CodeSystem/v2-0550,,
FORES,Foreskin,HL70550,"F-R4, F-R6",,,,,FORES,,Foreskin,http://terminology.hl7.org/CodeSystem/v2-0550,,
FOURC,Fourchette,HL70550,"F-R4, F-R6",,,,,FOURC,,Fourchette,http://terminology.hl7.org/CodeSystem/v2-0550,,
GB,Gall Bladder,HL70550,"F-R4, F-R6",,,,,GB,,Gall Bladder,http://terminology.hl7.org/CodeSystem/v2-0550,,
GEN,Genital,HL70550,"F-R4, F-R6",,,,,GEN,,Genital,http://terminology.hl7.org/CodeSystem/v2-0550,,
GVU,Genital - Vulva,HL70550,"F-R4, F-R6",,,,,GVU,,Genital - Vulva,http://terminology.hl7.org/CodeSystem/v2-0550,,
GENC,Genital Cervix,HL70550,"F-R4, F-R6",,,,,GENC,,Genital Cervix,http://terminology.hl7.org/CodeSystem/v2-0550,,
GL,Genital Lesion,HL70550,"F-R4, F-R6",,,,,GL,,Genital Lesion,http://terminology.hl7.org/CodeSystem/v2-0550,,
GENL,Genital Lochia,HL70550,"F-R4, F-R6",,,,,GENL,,Genital Lochia,http://terminology.hl7.org/CodeSystem/v2-0550,,
GLAND,Gland,HL70550,"F-R4, F-R6",,,,,GLAND,,Gland,http://terminology.hl7.org/CodeSystem/v2-0550,,
GLANS,Glans,HL70550,"F-R4, F-R6",,,,,GLANS,,Glans,http://terminology.hl7.org/CodeSystem/v2-0550,,
GLUTE,Gluteal,HL70550,"F-R4, F-R6",,,,,GLUTE,,Gluteal,http://terminology.hl7.org/CodeSystem/v2-0550,,
GLUT,Gluteus,HL70550,"F-R4, F-R6",,,,,GLUT,,Gluteus,http://terminology.hl7.org/CodeSystem/v2-0550,,
GLUTM,Gluteus Medius,HL70550,"F-R4, F-R6",,,,,GLUTM,,Gluteus Medius,http://terminology.hl7.org/CodeSystem/v2-0550,,
GROIN,Groin,HL70550,"F-R4, F-R6",,,,,GROIN,,Groin,http://terminology.hl7.org/CodeSystem/v2-0550,,
GUM,Gum,HL70550,"F-R4, F-R6",,,,,GUM,,Gum,http://terminology.hl7.org/CodeSystem/v2-0550,,
HAR,Hair,HL70550,"F-R4, F-R6",,,,,HAR,,Hair,http://terminology.hl7.org/CodeSystem/v2-0550,,
HAL,Hallux,HL70550,"F-R4, F-R6",,,,,HAL,,Hallux,http://terminology.hl7.org/CodeSystem/v2-0550,,
HAND,Hand,HL70550,"F-R4, F-R6",,,,,HAND,,Hand,http://terminology.hl7.org/CodeSystem/v2-0550,,
HEAD,Head,HL70550,"F-R4, F-R6",,,,,HEAD,,Head,http://terminology.hl7.org/CodeSystem/v2-0550,,
HART,Heart,HL70550,"F-R4, F-R6",,,,,HART,,Heart,http://terminology.hl7.org/CodeSystem/v2-0550,,
HV,Heart Valve,HL70550,"F-R4, F-R6",,,,,HV,,Heart Valve,http://terminology.hl7.org/CodeSystem/v2-0550,,
HVB,"Heart Valve, Bicuspid",HL70550,"F-R4, F-R6",,,,,HVB,,"Heart Valve, Bicuspid",http://terminology.hl7.org/CodeSystem/v2-0550,,
HVT,"Heart Valve, Tricuspid",HL70550,"F-R4, F-R6",,,,,HVT,,"Heart Valve, Tricuspid",http://terminology.hl7.org/CodeSystem/v2-0550,,
HEEL,Heel,HL70550,"F-R4, F-R6",,,,,HEEL,,Heel,http://terminology.hl7.org/CodeSystem/v2-0550,,
HEM,Hemorrhoid,HL70550,"F-R4, F-R6",,,,,HEM,,Hemorrhoid,http://terminology.hl7.org/CodeSystem/v2-0550,,
HIP,Hip,HL70550,"F-R4, F-R6",,,,,HIP,,Hip,http://terminology.hl7.org/CodeSystem/v2-0550,,
HIPJ,Hip Joint,HL70550,"F-R4, F-R6",,,,,HIPJ,,Hip Joint,http://terminology.hl7.org/CodeSystem/v2-0550,,
HUMER,Humerus,HL70550,"F-R4, F-R6",,,,,HUMER,,Humerus,http://terminology.hl7.org/CodeSystem/v2-0550,,
HYMEN,Hymen,HL70550,"F-R4, F-R6",,,,,HYMEN,,Hymen,http://terminology.hl7.org/CodeSystem/v2-0550,,
ILC,Ileal Conduit,HL70550,"F-R4, F-R6",,,,,ILC,,Ileal Conduit,http://terminology.hl7.org/CodeSystem/v2-0550,,
ILE,Ileal Loop,HL70550,"F-R4, F-R6",,,,,ILE,,Ileal Loop,http://terminology.hl7.org/CodeSystem/v2-0550,,
ILEOS,Ileostomy,HL70550,"F-R4, F-R6",,,,,ILEOS,,Ileostomy,http://terminology.hl7.org/CodeSystem/v2-0550,,
ILEUM,Ileum,HL70550,"F-R4, F-R6",,,,,ILEUM,,Ileum,http://terminology.hl7.org/CodeSystem/v2-0550,,
