HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
Code,Text,Code System,Core Version,Incubator Version,Computable ANTLR,Computable FHIRPath,Narrative,Code,,Display,Code System,,
RDY_K15,K15,HL7-0354,"F-R4, F-R6",,,,,,,,,,
REF_I12,"I12, I13, I14, I15",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RER_RER,RER,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RGR_RGR,RGR,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RGV_O15,O15,HL7-0354,"F-R4, F-R6",,,,,,,,,,
ROR_ROR,ROR,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RPA_I08,"I08, I09. I10, I11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RPI_I01,"I01, I04",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RPI_I04,I04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RPL_I02,I02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RPR_I03,I03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RQA_I08,"I08, I09, I10, I11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RQC_I05,"I05, I06",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RQI_I01,"I01, I02, I03, I07",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RQP_I04,I04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RRA_O18,O18,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RRD_O14,O14,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RRE_O12,"O12, O26",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RRE_O50,Events O50,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RRG_O16,O16,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RRI_I12,"I12, I13, I14, I15",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_E03,E03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_E22,E22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K11,K11,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K21,K21,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K22,K22,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K23,"K23, K24",HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K25,K25,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K31,K31,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_K32,K32,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_O33,O33,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_O34,O34,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RSP_Q11,Q11,HL7-0354,"F-R4, F-R6",,,,,,,,,,
RTB_K13,K13,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SDR_S31,"S31, S36",HL7-0354,"F-R4, F-R6",,,,,,,,,,
SDR_S32,"S32, S37",HL7-0354,"F-R4, F-R6",,,,,,,,,,
SET_S38,Specimen Container Preparation and Specimen Collection Event,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SET_S40,Specimen Collection Event unsuccessful,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SET_S41,Specimen Movement Event,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SET_S45,Specimen Identification Events,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SET_S50,Specimen Procedure Step successful,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SET_S52,Specimen Procedure Step unsuccessful,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SIU_S12,"S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S26",HL7-0354,"F-R4, F-R6",,,,,,,,,,
SLR_S28,"S28, S29, S30, S34, S35",HL7-0354,"F-R4, F-R6",,,,,,,,,,
SQM_S25,S25,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SQR_S25,S25,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SRM_S01,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
SRR_S01,"S01, S02, S03, S04, S05, S06, S07, S08, S09, S10, S11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
SSR_U04,U04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SSU_U03,U03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
STC_S33,S33,HL7-0354,"F-R4, F-R6",,,,,,,,,,
SUR_P09,P09,HL7-0354,"F-R4, F-R6",,,,,,,,,,
TCU_U10,"U10, U11",HL7-0354,"F-R4, F-R6",,,,,,,,,,
UDM_Q05,Q05,HL7-0354,"F-R4, F-R6",,,,,,,,,,
VXQ_V01,V01,HL7-0354,"F-R4, F-R6",,,,,,,,,,
VXR_V03,V03,HL7-0354,"F-R4, F-R6",,,,,,,,,,
VXU_V04,V04,HL7-0354,"F-R4, F-R6",,,,,,,,,,
VXX_V02,V02,HL7-0354,"F-R4, F-R6",,,,,,,,,,
