HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
GROSH,"Catheter, Groshong",HL70487,"F-R4, F-R6",,,,,GROSH,,"Catheter, Groshong",http://terminology.hl7.org/CodeSystem/v2-0487,,
GSOL,"Solution, Gastrostomy",HL70487,"F-R4, F-R6",,,,,GSOL,,"Solution, Gastrostomy",http://terminology.hl7.org/CodeSystem/v2-0487,,
GSPEC,"Biopsy, Gastric",HL70487,"F-R4, F-R6",,,,,GSPEC,,"Biopsy, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GT,"Tube, Gastric",HL70487,"F-R4, F-R6",,,,,GT,,"Tube, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
GTUBE,"Drainage Tube, Drainage (Gastrostomy)",HL70487,"F-R4, F-R6",,,,,GTUBE,,"Drainage Tube, Drainage (Gastrostomy)",http://terminology.hl7.org/CodeSystem/v2-0487,,
HAR,Hair,HL70487,"F-R4, F-R6",,,,,HAR,,Hair,http://terminology.hl7.org/CodeSystem/v2-0487,,
HBITE,"Bite, Human",HL70487,"F-R4, F-R6",,,,,HBITE,,"Bite, Human",http://terminology.hl7.org/CodeSystem/v2-0487,,
HBLUD,"Blood, Autopsy",HL70487,"F-R4, F-R6",,,,,HBLUD,,"Blood, Autopsy",http://terminology.hl7.org/CodeSystem/v2-0487,,
HEMAQ,"Catheter Tip, Hemaquit",HL70487,"F-R4, F-R6",,,,,HEMAQ,,"Catheter Tip, Hemaquit",http://terminology.hl7.org/CodeSystem/v2-0487,,
HEMO,"Catheter Tip, Hemovac",HL70487,"F-R4, F-R6",,,,,HEMO,,"Catheter Tip, Hemovac",http://terminology.hl7.org/CodeSystem/v2-0487,,
HERNI,"Tissue, Herniated",HL70487,"F-R4, F-R6",,,,,HERNI,,"Tissue, Herniated",http://terminology.hl7.org/CodeSystem/v2-0487,,
HEV,"Drain, Hemovac",HL70487,"F-R4, F-R6",,,,,HEV,,"Drain, Hemovac",http://terminology.hl7.org/CodeSystem/v2-0487,,
HIC,"Catheter, Hickman",HL70487,"F-R4, F-R6",,,,,HIC,,"Catheter, Hickman",http://terminology.hl7.org/CodeSystem/v2-0487,,
HYDC,"Fluid, Hydrocele",HL70487,"F-R4, F-R6",,,,,HYDC,,"Fluid, Hydrocele",http://terminology.hl7.org/CodeSystem/v2-0487,,
IBITE,"Bite, Insect",HL70487,"F-R4, F-R6",,,,,IBITE,,"Bite, Insect",http://terminology.hl7.org/CodeSystem/v2-0487,,
ICYST,"Cyst, Inclusion",HL70487,"F-R4, F-R6",,,,,ICYST,,"Cyst, Inclusion",http://terminology.hl7.org/CodeSystem/v2-0487,,
IDC,"Catheter Tip, Indwelling",HL70487,"F-R4, F-R6",,,,,IDC,,"Catheter Tip, Indwelling",http://terminology.hl7.org/CodeSystem/v2-0487,,
IHG,"Gas, Inhaled",HL70487,"F-R4, F-R6",,,,,IHG,,"Gas, Inhaled",http://terminology.hl7.org/CodeSystem/v2-0487,,
ILEO,"Drainage, Ileostomy",HL70487,"F-R4, F-R6",,,,,ILEO,,"Drainage, Ileostomy",http://terminology.hl7.org/CodeSystem/v2-0487,,
ILLEG,Source of Specimen Is Illegible,HL70487,"F-R4, F-R6",,,,,ILLEG,,Source of Specimen Is Illegible,http://terminology.hl7.org/CodeSystem/v2-0487,,
IMP,Implant,HL70487,"F-R4, F-R6",,,,,IMP,,Implant,http://terminology.hl7.org/CodeSystem/v2-0487,,
INCI,"Site, Incision/Surgical",HL70487,"F-R4, F-R6",,,,,INCI,,"Site, Incision/Surgical",http://terminology.hl7.org/CodeSystem/v2-0487,,
INFIL,Infiltrate,HL70487,"F-R4, F-R6",,,,,INFIL,,Infiltrate,http://terminology.hl7.org/CodeSystem/v2-0487,,
INS,Insect,HL70487,"F-R4, F-R6",,,,,INS,,Insect,http://terminology.hl7.org/CodeSystem/v2-0487,,
INTRD,"Catheter Tip, Introducer",HL70487,"F-R4, F-R6",,,,,INTRD,,"Catheter Tip, Introducer",http://terminology.hl7.org/CodeSystem/v2-0487,,
ISLT,Isolate,HL70487,"F-R4, F-R6",,,,,ISLT,,Isolate,http://terminology.hl7.org/CodeSystem/v2-0487,,
IT,Intubation tube,HL70487,"F-R4, F-R6",,,,,IT,,Intubation tube,http://terminology.hl7.org/CodeSystem/v2-0487,,
IUD,Intrauterine Device,HL70487,"F-R4, F-R6",,,,,IUD,,Intrauterine Device,http://terminology.hl7.org/CodeSystem/v2-0487,,
IVCAT,"Catheter Tip, IV",HL70487,"F-R4, F-R6",,,,,IVCAT,,"Catheter Tip, IV",http://terminology.hl7.org/CodeSystem/v2-0487,,
IVFLD,"Fluid, IV",HL70487,"F-R4, F-R6",,,,,IVFLD,,"Fluid, IV",http://terminology.hl7.org/CodeSystem/v2-0487,,
IVTIP,"Tubing Tip, IV",HL70487,"F-R4, F-R6",,,,,IVTIP,,"Tubing Tip, IV",http://terminology.hl7.org/CodeSystem/v2-0487,,
JEJU,"Drainage, Jejunal",HL70487,"F-R4, F-R6",,,,,JEJU,,"Drainage, Jejunal",http://terminology.hl7.org/CodeSystem/v2-0487,,
JNTFLD,"Fluid, Joint",HL70487,"F-R4, F-R6",,,,,JNTFLD,,"Fluid, Joint",http://terminology.hl7.org/CodeSystem/v2-0487,,
JP,"Drainage, Jackson Pratt",HL70487,"F-R4, F-R6",,,,,JP,,"Drainage, Jackson Pratt",http://terminology.hl7.org/CodeSystem/v2-0487,,
KELOI,Lavage,HL70487,"F-R4, F-R6",,,,,KELOI,,Lavage,http://terminology.hl7.org/CodeSystem/v2-0487,,
KIDFLD,"Fluid, Kidney",HL70487,"F-R4, F-R6",,,,,KIDFLD,,"Fluid, Kidney",http://terminology.hl7.org/CodeSystem/v2-0487,,
LAVG,"Lavage, Bronhial",HL70487,"F-R4, F-R6",,,,,LAVG,,"Lavage, Bronhial",http://terminology.hl7.org/CodeSystem/v2-0487,,
LAVGG,"Lavage, Gastric",HL70487,"F-R4, F-R6",,,,,LAVGG,,"Lavage, Gastric",http://terminology.hl7.org/CodeSystem/v2-0487,,
LAVGP,"Lavage, Peritoneal",HL70487,"F-R4, F-R6",,,,,LAVGP,,"Lavage, Peritoneal",http://terminology.hl7.org/CodeSystem/v2-0487,,
LAVPG,"Lavage, Pre-Bronch",HL70487,"F-R4, F-R6",,,,,LAVPG,,"Lavage, Pre-Bronch",http://terminology.hl7.org/CodeSystem/v2-0487,,
LENS1,Contact Lens,HL70487,"F-R4, F-R6",,,,,LENS1,,Contact Lens,http://terminology.hl7.org/CodeSystem/v2-0487,,
LENS2,Contact Lens Case,HL70487,"F-R4, F-R6",,,,,LENS2,,Contact Lens Case,http://terminology.hl7.org/CodeSystem/v2-0487,,
LESN,Lesion,HL70487,"F-R4, F-R6",,,,,LESN,,Lesion,http://terminology.hl7.org/CodeSystem/v2-0487,,
LIQ,"Liquid, Unspecified",HL70487,"F-R4, F-R6",,,,,LIQ,,"Liquid, Unspecified",http://terminology.hl7.org/CodeSystem/v2-0487,,
LIQO,"Liquid, Other",HL70487,"F-R4, F-R6",,,,,LIQO,,"Liquid, Other",http://terminology.hl7.org/CodeSystem/v2-0487,,
